det_idx,det_age_yrBP
0,12800.0
1,14600.0
2,16000.0
3,16150.0
4,18850.0
5,24050.0
6,25250.0
7,25550.0
8,27350.0
9,27800.0
10,28450.0
11,29250.0
12,30600.0
13,30800.0
14,31850.0
15,32650.0
16,33500.0
17,33900.0
18,34850.0
19,35650.0
20,36800.0
21,38450.0
22,40200.0
23,40350.0
24,41150.0
25,41650.0
26,42550.0
27,43600.0
28,44600.0
29,44800.0
30,44900.0
31,47100.0
32,49400.0
33,49500.0
34,50950.0
35,54200.0
36,54300.0
37,54500.0
38,55750.0
39,56100.0
40,56950.0
41,58350.0
42,58450.0
43,58600.0
44,58850.0
45,59800.0
46,63800.0
47,66100.0
48,66300.0
49,69350.0
50,69800.0
51,70500.0
52,70850.0
53,72150.0
54,73400.0
55,75850.0
56,77500.0
57,77650.0
58,80900.0
59,84800.0
60,88650.0
61,92400.0
62,97250.0
63,103100.0
64,105450.0
65,108350.0
66,110400.0
67,114550.0
68,116650.0
