segment_idx,state,start_age_yrBP,end_age_yrBP,duration_yr,max_abs_amp
0,1,11750,12750,1050.0,1.3310623886183985
1,0,12800,14600,1850.0,1.8890438684011512
2,1,14650,17100,2500.0,1.820026468968365
3,0,17150,17500,400.0,0.6607194502997452
4,1,17550,17800,300.0,0.6013957502979113
5,0,17850,19950,2150.0,2.1728924141457795
6,1,20000,20500,550.0,0.37801265020808417
7,0,20550,21250,750.0,0.38693043186655773
8,1,21300,22750,1500.0,0.5891679686432576
9,0,22800,23650,900.0,0.40079059659849003
10,1,23700,24550,900.0,1.471852865933069
11,0,24600,25150,600.0,0.4016229988119312
12,1,25200,26100,950.0,0.6196105076802846
13,0,26150,28350,2250.0,1.2218195301340489
14,1,28400,28600,250.0,0.3193329956370231
15,0,28650,29350,750.0,1.2893469967173277
16,1,29400,30650,1300.0,0.9197298018582601
17,0,30700,30900,250.0,0.528639661281843
18,1,30950,32000,1100.0,0.693167822004042
19,0,32050,32650,650.0,0.9090539102386778
20,1,32700,33400,750.0,0.6097559134871682
21,0,33450,34000,600.0,0.7060624864640278
22,1,34050,34600,600.0,0.6558191503393969
23,0,34650,35500,900.0,1.0754559678542392
24,1,35550,36600,1100.0,0.831110085480266
25,0,36650,38300,1700.0,1.0036664360740166
26,1,38350,39950,1650.0,1.4671969246325671
27,0,40000,41650,1700.0,0.868522802899898
28,1,41700,42400,750.0,0.8244467882783858
29,0,42450,43600,1200.0,1.04169887472418
30,1,43650,44550,950.0,0.9391790356200588
31,0,44600,45000,450.0,0.8674516997078824
32,1,45050,45700,700.0,0.41383911932100514
33,0,45750,47250,1550.0,1.493925686903211
34,1,47300,48900,1650.0,1.445504081523441
35,0,48950,49600,700.0,1.3407784942890248
36,1,49650,50550,950.0,0.7202544970238971
37,0,50600,53750,3200.0,0.6314858121217971
38,1,53800,55250,1500.0,1.2410040149958834
39,0,55300,55600,350.0,0.40295808576523495
40,1,55650,56450,850.0,1.008715661368
41,0,56500,58550,2100.0,0.9758984989518025
42,1,58600,58750,200.0,0.44774871265834104
43,0,58800,59750,1000.0,1.0785321436682858
44,1,59800,63550,3800.0,0.6952948542438937
45,0,63600,65500,1950.0,0.7822875816589128
46,1,65550,68650,3150.0,0.7336968157120493
47,0,68700,69100,450.0,0.44286471024528906
48,1,69150,70100,1000.0,1.5982821646718592
49,0,70150,72250,2150.0,1.403628284177124
50,1,72300,73300,1050.0,1.9124793142158758
51,0,73350,75900,2600.0,1.037072455871649
52,1,75950,77500,1600.0,1.6764377722310917
53,0,77550,78300,800.0,0.8020312179992938
54,1,78350,78900,600.0,0.387285914613149
55,0,78950,80300,1400.0,0.5040419764425833
56,1,80350,81350,1050.0,0.39088130698259616
57,0,81400,84150,2800.0,0.845956487275776
58,1,84200,84750,600.0,1.1639108226747035
59,0,84800,84900,150.0,0.4503604073640003
60,1,84950,88350,3450.0,0.7513868451281405
61,0,88400,90000,1650.0,1.3199830468097764
62,1,90050,90350,350.0,0.38123963876855604
63,0,90400,91050,700.0,0.42194553631309506
64,1,91100,94150,3100.0,0.6147541840836015
65,0,94200,96500,2350.0,0.7809263894464412
66,1,96550,100050,3550.0,0.6504081130541312
67,0,100100,102200,2150.0,0.7800031832074953
68,1,102250,104550,2350.0,0.517964976268255
69,0,104600,104950,400.0,0.5255456938936007
70,1,105000,106300,1350.0,2.052474919538646
71,0,106350,108450,2150.0,1.3463863106119367
72,1,108500,111300,2850.0,1.9446350511088717
73,0,111350,114800,3500.0,0.6248309645324427
74,1,114850,115100,300.0,0.32616057516494246
75,0,115150,115400,300.0,0.28919179900596415
76,1,115450,117550,2150.0,0.6444127943127727
77,0,117600,118400,850.0,0.5534238516056006
78,1,118450,119100,700.0,0.489291552306663
